Var1,Var2,value
Air spd hi ldg gear extn,Ldg gear late retr g/a,0.004806685
RoD hi 1000-500ft,Pitch rate lo t/o,0.004804151
Pitch rate lo t/o,RoD hi 1000-500ft,0.004804151
Pitch rate lo t/o,Pitch cycle fin app,0.004802462
Pitch cycle fin app,Pitch rate lo t/o,0.004802462
Pitch lo 35ft t/o,Air spd (rel) lo 500-20ft (3 secs),0.004801876
Air spd (rel) lo 500-20ft (3 secs),Pitch lo 35ft t/o,0.004801876
Pitch hi 35ft t/o,Eng N1 lo TOGA t/o,0.00479787
Eng N1 lo TOGA t/o,Pitch hi 35ft t/o,0.00479787
RoD hi 500-50ft,Air spd (rel) lo flap 1,0.004792845
Air spd (rel) lo flap 1,RoD hi 500-50ft,0.004792845
Gnd spd hi taxi turn,Air spd (rel) lo 35-climb accel (3 secs),0.004788414
Air spd (rel) lo 35-climb accel (3 secs),Gnd spd hi taxi turn,0.004788414
Roll hi 1000-300ft,Ldg gear late retr g/a,0.004781137
Ldg gear late retr g/a,Roll hi 1000-300ft,0.004781137
Short flare duration,Max alt (flaps extd) excd,0.004780345
Max alt (flaps extd) excd,Short flare duration,0.004780345
Hgt hi 1 min tdwn,Air spd (rel) hi 35-climb accel start,0.004777586
Air spd (rel) hi 35-climb accel start,Hgt hi 1 min tdwn,0.004777586
Unstable app g/a,Pitch hi liftoff,0.004775333
Pitch hi liftoff,Unstable app g/a,0.004775333
Air spd hi flap 40,Air spd (rel) hi 500-20ft (3 secs),0.00477444
Air spd (rel) hi 500-20ft (3 secs),Air spd hi flap 40,0.00477444
RoD hi 1000-500ft,Ldg gear late retr,0.00476306
Ldg gear late retr,RoD hi 1000-500ft,0.00476306
Roll hi 20-400ft,Flap retr early t/o,0.004753837
Flap retr early t/o,Roll hi 20-400ft,0.004753837
Roll hi 20ft tdwn,Pitch lo 35ft t/o,0.00475293
Pitch lo 35ft t/o,Roll hi 20ft tdwn,0.00475293
Roll cycle fin app,GS dev below GS 1500-1000ft,0.004747946
GS dev below GS 1500-1000ft,Roll cycle fin app,0.004747946
AP engaged early t/o,Air spd hi flap 25,0.004743612
Air spd hi flap 25,AP engaged early t/o,0.004743612
Pitch hi 500-50ft,Flap setting lo 1000ft,0.004739782
Flap setting lo 1000ft,Pitch hi 500-50ft,0.004739782
Pitch rate lo t/o,AP engaged early t/o,0.00473487
AP engaged early t/o,Pitch rate lo t/o,0.00473487
Hdg var tdwn 60kts air spd,Air spd (rel) lo flap 5,0.00473159
Air spd (rel) lo flap 5,Hdg var tdwn 60kts air spd,0.00473159
Pitch rate (neg) t/o,Flap mvmt late app,0.004730795
Flap mvmt late app,Pitch rate (neg) t/o,0.004730795
Roll hi liftoff 20ft,LOC dev 1000-500ft,0.004725566
LOC dev 1000-500ft,Roll hi liftoff 20ft,0.004725566
Pitch hi 500-50ft,GS dev above GS 500-200ft,0.004725036
GS dev above GS 500-200ft,Pitch hi 500-50ft,0.004725036
Pitch rate hi 35-1000ft,Pitch hi 400-1000ft,0.004719238
Pitch hi 400-1000ft,Pitch rate hi 35-1000ft,0.004719238
Throttle cycle fin app,RoD hi 2000-1000ft,0.004718414
RoD hi 2000-1000ft,Throttle cycle fin app,0.004718414
Hgt lo 1 min tdwn,Flap retr early t/o,0.004717536
Flap retr early t/o,Hgt lo 1 min tdwn,0.004717536
Hgt hi 2 min tdwn,Air spd (rel) lo 500-20ft (3 secs),0.004716483
Air spd (rel) lo 500-20ft (3 secs),Hgt hi 2 min tdwn,0.004716483
Pitch rate (rot) hi t/o,Eng N1 lo 500-50ft (5 secs),0.004715499
Eng N1 lo 500-50ft (5 secs),Pitch rate (rot) hi t/o,0.004715499
Pitch lo 500-20ft,Hgt lo 2 min tdwn,0.004712737
Hgt lo 2 min tdwn,Pitch lo 500-20ft,0.004712737
Hdg var tdwn 60kts air spd,Gnd spd hi taxi turn,0.004706541
Gnd spd hi taxi turn,Hdg var tdwn 60kts air spd,0.004706541
Turb app,Air spd (rel) lo liftoff,0.004700947
Air spd (rel) lo liftoff,Turb app,0.004700947
Pitch rate lo t/o,Air spd hi 1000-8000ft,0.004699569
Air spd hi 1000-8000ft,Pitch rate lo t/o,0.004699569
Pitch rate (neg) t/o,Hdg dev rwy >80kts air spd t/o,0.004693962
Hdg dev rwy >80kts air spd t/o,Pitch rate (neg) t/o,0.004693962
Max alt excd,Air spd (rel) hi 35ft t/o,0.00469379
Air spd (rel) hi 35ft t/o,Max alt excd,0.00469379
RoD hi 3000-2000ft,Hgt lo 2 min tdwn,0.004687748
Hgt lo 2 min tdwn,RoD hi 3000-2000ft,0.004687748
Turb app,GS dev below GS 1000-500ft,0.004684878
GS dev below GS 1000-500ft,Turb app,0.004684878
Air spd hi flap 40,Air spd (rel) lo flap 10,0.004683692
Air spd (rel) lo flap 10,Air spd hi flap 40,0.004683692
Air spd hi 1000-8000ft,Air spd (rel) lo 500-20ft (3 secs),0.004678134
Air spd (rel) lo 500-20ft (3 secs),Air spd hi 1000-8000ft,0.004678134
RoD hi 500-50ft,Air spd (rel) lo liftoff,0.004674377
Air spd (rel) lo liftoff,RoD hi 500-50ft,0.004674377
Ldg weight hi tdwn,Air spd hi 8000-10000ft,0.004656983
Air spd hi 8000-10000ft,Ldg weight hi tdwn,0.004656983
RoD hi 1000-500ft,AP disengaged crz,0.004656736
AP disengaged crz,RoD hi 1000-500ft,0.004656736
Roll hi 300-20ft,Norm g hi t/o,0.004656615
Norm g hi t/o,Roll hi 300-20ft,0.004656615
Unstable app g/a,GS dev below GS 1500-1000ft,0.004653491
GS dev below GS 1500-1000ft,Unstable app g/a,0.004653491
Flap retr early t/o,Air spd (rel) lo flap 1,0.004651516
Air spd (rel) lo flap 1,Flap retr early t/o,0.004651516
Short flare duration,Pitch hi 35-400ft,0.004648548
Pitch hi 35-400ft,Short flare duration,0.004648548
Roll hi 1000-300ft,Air spd hi flap 2,0.004646399
Air spd hi flap 2,Roll hi 1000-300ft,0.004646399
Roll hi 20ft tdwn,GS dev below GS 1000-500ft,0.004642854
GS dev below GS 1000-500ft,Roll hi 20ft tdwn,0.004642854
Pitch hi 400-1000ft,Air spd (rel) lo liftoff,0.00464161
Air spd (rel) lo liftoff,Pitch hi 400-1000ft,0.00464161
Ldg gear late retr g/a,Eng N1 lo 500-50ft (5 secs),0.00463883
Eng N1 lo 500-50ft (5 secs),Ldg gear late retr g/a,0.00463883
Hgt lo 2 min tdwn,Flap setting lo 1000ft,0.004633081
Flap setting lo 1000ft,Hgt lo 2 min tdwn,0.004633081
Pitch lo 400-1000ft,Gnd spd hi taxi straight,0.004632712
Gnd spd hi taxi straight,Pitch lo 400-1000ft,0.004632712
Roll hi 300-20ft,Air spd hi flap 40,0.004620848
Air spd hi flap 40,Roll hi 300-20ft,0.004620848
Pitch lo 500-20ft,Air spd (rel) lo 500-20ft (3 secs),0.0046207
Air spd (rel) lo 500-20ft (3 secs),Pitch lo 500-20ft,0.0046207
GS dev above GS 1500-1000ft,Air spd hi flap 40,0.004611703
Air spd hi flap 40,GS dev above GS 1500-1000ft,0.004611703
Fuel qty low tdwn,Air spd (rel) hi 35ft t/o,0.004611294
Air spd (rel) hi 35ft t/o,Fuel qty low tdwn,0.004611294
LOC dev 1500-1000ft,Hgt hi 1 min tdwn,0.004595592
Hgt hi 1 min tdwn,LOC dev 1500-1000ft,0.004595592
Pitch rate (rot) hi t/o,Hgt lo 2 min tdwn,0.004595237
Hgt lo 2 min tdwn,Pitch rate (rot) hi t/o,0.004595237
Pitch lo 400-1000ft,Flap mvmt late app,0.004593312
Flap mvmt late app,Pitch lo 400-1000ft,0.004593312
Hgt hi 2 min tdwn,Air spd hi flap 2,0.004585185
Air spd hi flap 2,Hgt hi 2 min tdwn,0.004585185
Norm g hi tdwn (hard ldg),Air spd hi 8000-10000ft,0.004583484
Air spd hi 8000-10000ft,Norm g hi tdwn (hard ldg),0.004583484
Roll cycle fin app,Hdg var 500-50ft,0.004578995
Hdg var 500-50ft,Roll cycle fin app,0.004578995
Roll hi 1000-300ft,GS dev below GS 500-200ft,0.004578184
GS dev below GS 500-200ft,Roll hi 1000-300ft,0.004578184
Turb flt,RoD hi 2000-1000ft,0.004572929
RoD hi 2000-1000ft,Turb flt,0.004572929
Air spd hi 5000-3000ft,Air spd (rel) lo liftoff,0.004572916
Air spd (rel) lo liftoff,Air spd hi 5000-3000ft,0.004572916
Roll hi 300-20ft,Pitch cycle fin app,0.00457172
Pitch cycle fin app,Roll hi 300-20ft,0.00457172
Norm g hi t/o,Go-around,0.004560029
Go-around,Norm g hi t/o,0.004560029
Roll cycle fin app,Pitch rate hi 35-1000ft,0.004558854
Pitch rate hi 35-1000ft,Roll cycle fin app,0.004558854
Roll hi 20-400ft,Air spd hi flap 40,0.004556986
Air spd hi flap 40,Roll hi 20-400ft,0.004556986
Fuel qty low tdwn,AP engaged early t/o,0.004556827
AP engaged early t/o,Fuel qty low tdwn,0.004556827
Lat g hi taxi turn,Hgt lo 2 min tdwn,0.004543617
Hgt lo 2 min tdwn,Lat g hi taxi turn,0.004543617
Pitch lo 20ft tdwn,Air spd (rel) lo flap 5,0.004542042
Air spd (rel) lo flap 5,Pitch lo 20ft tdwn,0.004542042
Pitch rate hi 35-1000ft,Air spd (rel) hi liftoff,0.00454086
Air spd (rel) hi liftoff,Pitch rate hi 35-1000ft,0.00454086
GS dev above GS 1000-500ft,Air spd (rel) lo tdwn,0.004538883
Air spd (rel) lo tdwn,GS dev above GS 1000-500ft,0.004538883
RoC lo 35-1000ft,Pitch lo 35-climb accel start,0.004537987
Pitch lo 35-climb accel start,RoC lo 35-1000ft,0.004537987
Pitch lo 35-climb accel start,Ldg weight hi tdwn,0.00453332
Ldg weight hi tdwn,Pitch lo 35-climb accel start,0.00453332
Air spd (rel) lo flap 10,Air spd (rel) lo 500-20ft (3 secs),0.004530779
Air spd (rel) lo 500-20ft (3 secs),Air spd (rel) lo flap 10,0.004530779
Flap setting lo 1000ft,Air spd hi flap 5,0.004530216
Air spd hi flap 5,Flap setting lo 1000ft,0.004530216
Ldg weight hi tdwn,Air spd hi flap 25,0.004525911
Air spd hi flap 25,Ldg weight hi tdwn,0.004525911
Short flare duration,Flap mvmt late app,0.004518661
Flap mvmt late app,Short flare duration,0.004518661
RoD hi 1000-500ft,Air spd (rel) lo 500-20ft (3 secs),0.004518628
Air spd (rel) lo 500-20ft (3 secs),RoD hi 1000-500ft,0.004518628
Pitch rate (neg) t/o,Air spd (rel) lo tdwn,0.004516731
Air spd (rel) lo tdwn,Pitch rate (neg) t/o,0.004516731
RoC lo 35-1000ft,LOC dev 500-200ft,0.004511128
LOC dev 500-200ft,RoC lo 35-1000ft,0.004511128
Pitch lo 400-1000ft,Pitch hi 500-50ft,0.00451035
Pitch hi 500-50ft,Pitch lo 400-1000ft,0.00451035
Pitch rate hi 35-1000ft,Air spd (rel) lo flap 15,0.004509311
Air spd (rel) lo flap 15,Pitch rate hi 35-1000ft,0.004509311
LOC dev 1000-500ft,Hgt hi 2 min tdwn,0.004507059
Hgt hi 2 min tdwn,LOC dev 1000-500ft,0.004507059
TAWS GS 500-200ft,Air spd hi 10000-8000ft,0.004506663
Air spd hi 10000-8000ft,TAWS GS 500-200ft,0.004506663
Fuel qty low tdwn,Air spd (rel) hi 35-climb accel (3 secs),0.004506325
Air spd (rel) hi 35-climb accel (3 secs),Fuel qty low tdwn,0.004506325
GS dev below GS 1000-500ft,Air spd hi flap 5,0.004501788
Air spd hi flap 5,GS dev below GS 1000-500ft,0.004501788
Gnd spd hi taxi straight,Air spd hi 3000-1000ft,0.004500763
Air spd hi 3000-1000ft,Gnd spd hi taxi straight,0.004500763
Pitch lo 400-1000ft,Air spd (rel) lo flap 1,0.00449338
Air spd (rel) lo flap 1,Pitch lo 400-1000ft,0.00449338
Roll hi 20ft tdwn,Air spd (rel) lo flap 15,0.004484055
Air spd (rel) lo flap 15,Roll hi 20ft tdwn,0.004484055
Turb flt,Air spd (rel) lo 35-climb accel (3 secs),0.004477612
Air spd (rel) lo 35-climb accel (3 secs),Turb flt,0.004477612
Turb app,Roll hi >1000ft,0.004472669
Roll hi >1000ft,Turb app,0.004472669
Eng N1 lo 500-50ft (5 secs),Air spd hi 8000-5000ft,0.004471131
Air spd hi 8000-5000ft,Eng N1 lo 500-50ft (5 secs),0.004471131
Pitch rate (rot) hi t/o,AP engaged early t/o,0.004470466
AP engaged early t/o,Pitch rate (rot) hi t/o,0.004470466
Pitch cycle fin app,Air spd (rel) lo 1000-500ft (3 secs),0.004470021
Air spd (rel) lo 1000-500ft (3 secs),Pitch cycle fin app,0.004470021
Pitch lo 35-400ft,GS dev above GS 500-200ft,0.00446219
GS dev above GS 500-200ft,Pitch lo 35-400ft,0.00446219
Air spd hi flap 30,Air spd (rel) lo 35ft t/o,0.004461667
Air spd (rel) lo 35ft t/o,Air spd hi flap 30,0.004461667
RoD hi 1000-500ft,Air spd (rel) lo tdwn,0.004457119
Air spd (rel) lo tdwn,RoD hi 1000-500ft,0.004457119
GS dev above GS 1500-1000ft,Air spd hi 10000-8000ft,0.004451123
Air spd hi 10000-8000ft,GS dev above GS 1500-1000ft,0.004451123
Unstable app g/a,Spdbrk dep flaps extd,0.004449636
Spdbrk dep flaps extd,Unstable app g/a,0.004449636
Pitch hi 400-1000ft,Air spd hi flap 40,0.004442982
Air spd hi flap 40,Pitch hi 400-1000ft,0.004442982
RoD hi tdwn,Pitch hi liftoff,0.004439108
Pitch hi liftoff,RoD hi tdwn,0.004439108
Air spd hi flap 40,Air spd hi 10000-8000ft,0.004403378
Air spd hi 10000-8000ft,Air spd hi flap 40,0.004403378
Mach (MMO) excd,Air spd (rel) lo flap 10,0.004402621
Air spd (rel) lo flap 10,Mach (MMO) excd,0.004402621
Roll hi 300-20ft,Air spd (rel) hi liftoff,0.004395365
Air spd (rel) hi liftoff,Roll hi 300-20ft,0.004395365
Pitch hi 35-400ft,Air spd (rel) lo liftoff,0.004391932
Air spd (rel) lo liftoff,Pitch hi 35-400ft,0.004391932
Roll hi 300-20ft,GS dev above GS 1500-1000ft,0.004381979
GS dev above GS 1500-1000ft,Roll hi 300-20ft,0.004381979
Gnd spd hi taxi straight,Air spd hi 8000-5000ft,0.004375164
Air spd hi 8000-5000ft,Gnd spd hi taxi straight,0.004375164
Turb flt,Air spd hi flap 40,0.004372738
Air spd hi flap 40,Turb flt,0.004372738
RTO,Air spd (rel) hi 35-climb accel start,0.0043701
Air spd (rel) hi 35-climb accel start,RTO,0.0043701
Pitch lo 35-climb accel start,Ldg gear late retr g/a,0.004369264
Ldg gear late retr g/a,Pitch lo 35-climb accel start,0.004369264
Lat g hi taxi turn,Flap mvmt late app,0.004360101
Flap mvmt late app,Lat g hi taxi turn,0.004360101
Roll hi liftoff 20ft,Air spd (rel) hi 35-climb accel (3 secs),0.004358289
Air spd (rel) hi 35-climb accel (3 secs),Roll hi liftoff 20ft,0.004358289
Pitch lo 1000-500ft,Air spd (rel) lo 35ft t/o,0.004356546
Air spd (rel) lo 35ft t/o,Pitch lo 1000-500ft,0.004356546
RoD hi 2000-1000ft,Pitch hi 35ft t/o,0.004355536
Pitch hi 35ft t/o,RoD hi 2000-1000ft,0.004355536
Air spd hi flap 2,Air spd (rel) lo tdwn,0.004354637
Air spd (rel) lo tdwn,Air spd hi flap 2,0.004354637
Roll hi 20ft tdwn,GS dev below GS 500-200ft,0.004348624
GS dev below GS 500-200ft,Roll hi 20ft tdwn,0.004348624
Roll hi 20-400ft,Pitch lo 400-1000ft,0.00434203
Pitch lo 400-1000ft,Roll hi 20-400ft,0.00434203
Eng N1 lo TOGA t/o,AP disengaged crz,0.004337967
AP disengaged crz,Eng N1 lo TOGA t/o,0.004337967
Roll hi 300-20ft,Ldg gear late retr,0.00433615
Ldg gear late retr,Roll hi 300-20ft,0.00433615
Roll hi >1000ft,Hdg var tdwn 60kts air spd,0.004332687
Hdg var tdwn 60kts air spd,Roll hi >1000ft,0.004332687
Air spd (rel) lo flap 1,Air spd (rel) hi 35ft t/o,0.004319069
Air spd (rel) hi 35ft t/o,Air spd (rel) lo flap 1,0.004319069
Air spd hi 8000-10000ft,Air spd (rel) lo 500-20ft (3 secs),0.004317871
Air spd (rel) lo 500-20ft (3 secs),Air spd hi 8000-10000ft,0.004317871
Hgt hi 2 min tdwn,Air spd (rel) hi tdwn,0.004317255
Air spd (rel) hi tdwn,Hgt hi 2 min tdwn,0.004317255
Turb app,Air spd (rel) hi liftoff,0.004314151
Air spd (rel) hi liftoff,Turb app,0.004314151
RoD hi 500-50ft,Max alt excd,0.00431253
Max alt excd,RoD hi 500-50ft,0.00431253
Pitch hi 1000-500ft,Air spd hi flap 5,0.004310814
Air spd hi flap 5,Pitch hi 1000-500ft,0.004310814
Pitch hi 500-50ft,Pitch hi 35-400ft,0.004309163
Pitch hi 35-400ft,Pitch hi 500-50ft,0.004309163
Flap mvmt late app,AP disengaged crz,0.004308618
AP disengaged crz,Flap mvmt late app,0.004308618
Flap setting lo 1000ft,Air spd hi 10000-8000ft,0.004302536
Air spd hi 10000-8000ft,Flap setting lo 1000ft,0.004302536
Hgt lo 2 min tdwn,Air spd hi 1000-8000ft,0.00429831
Air spd hi 1000-8000ft,Hgt lo 2 min tdwn,0.00429831
Turb crz,RoD hi 50ft tdwn,0.004291918
RoD hi 50ft tdwn,Turb crz,0.004291918
Eng N1 lo 500-50ft (5 secs),Air spd hi ldg gear extn,0.004291452
Air spd hi ldg gear extn,Eng N1 lo 500-50ft (5 secs),0.004291452
Lat g hi taxi turn,Air spd (rel) lo tdwn,0.004290412
Air spd (rel) lo tdwn,Lat g hi taxi turn,0.004290412
RoC lo 35-1000ft,Gnd spd hi taxi straight,0.004289596
Gnd spd hi taxi straight,RoC lo 35-1000ft,0.004289596
Air spd (rel) lo flap 10,Air spd (rel) hi tdwn,0.004286759
Air spd (rel) hi tdwn,Air spd (rel) lo flap 10,0.004286759
Pitch hi 35ft t/o,Air spd hi 5000-3000ft,0.004285103
Air spd hi 5000-3000ft,Pitch hi 35ft t/o,0.004285103
Throttle cycle fin app,Roll hi 1000-300ft,0.004282184
Roll hi 1000-300ft,Throttle cycle fin app,0.004282184
RoD hi 500-50ft,Mach (MMO) excd,0.004280609
Mach (MMO) excd,RoD hi 500-50ft,0.004280609
Roll hi 20-400ft,Pitch lo 35ft t/o,0.004280339
Pitch lo 35ft t/o,Roll hi 20-400ft,0.004280339
GS dev below GS 1000-500ft,Air spd (rel) lo 35ft t/o,0.004280297
Air spd (rel) lo 35ft t/o,GS dev below GS 1000-500ft,0.004280297
Pitch rate (rot) hi t/o,Hdg var tdwn 60kts air spd,0.004278642
Hdg var tdwn 60kts air spd,Pitch rate (rot) hi t/o,0.004278642
Hdg var tdwn 60kts air spd,Air spd hi flap 5,0.00427858
Air spd hi flap 5,Hdg var tdwn 60kts air spd,0.00427858
RoD hi 1000-500ft,Max alt excd,0.004277708
Max alt excd,RoD hi 1000-500ft,0.004277708
RoD hi 3000-2000ft,Air spd hi flap 1,0.004276497
Air spd hi flap 1,RoD hi 3000-2000ft,0.004276497
Pitch lo 1000-500ft,Ldg weight hi tdwn,0.004263813
Ldg weight hi tdwn,Pitch lo 1000-500ft,0.004263813
Pitch lo 35-400ft,Hdg var tdwn 60kts air spd,0.004260263
Hdg var tdwn 60kts air spd,Pitch lo 35-400ft,0.004260263
Norm g hi tdwn (hard ldg),Hgt lo 2 min tdwn,0.004256733
Hgt lo 2 min tdwn,Norm g hi tdwn (hard ldg),0.004256733
Ldg gear late retr,GS dev below GS 1000-500ft,0.004254782
GS dev below GS 1000-500ft,Ldg gear late retr,0.004254782
Air spd (rel) lo tdwn,Air spd (rel) lo flap 1,0.004251368
Air spd (rel) lo flap 1,Air spd (rel) lo tdwn,0.004251368
Roll hi >1000ft,Pitch hi 50ft tdwn,0.004249895
Pitch hi 50ft tdwn,Roll hi >1000ft,0.004249895
Pitch lo 1000-500ft,Ldg gear late retr,0.004246558
Ldg gear late retr,Pitch lo 1000-500ft,0.004246558
Roll hi 1000-300ft,Air spd (rel) lo 1000-500ft (3 secs),0.004244968
Air spd (rel) lo 1000-500ft (3 secs),Roll hi 1000-300ft,0.004244968
Spdbrk dep flaps extd,Pitch cycle fin app,0.004243355
Pitch cycle fin app,Spdbrk dep flaps extd,0.004243355
Pitch hi liftoff,Air spd hi flap 30,0.004240631
Air spd hi flap 30,Pitch hi liftoff,0.004240631
GS dev below GS 1000-500ft,GS dev above GS 1500-1000ft,0.004238623
GS dev above GS 1500-1000ft,GS dev below GS 1000-500ft,0.004238623
Pitch hi 1000-500ft,GS dev above GS 500-200ft,0.004238316
GS dev above GS 500-200ft,Pitch hi 1000-500ft,0.004238316
Pitch hi 35-400ft,Air spd (rel) lo flap 10,0.004235853
Air spd (rel) lo flap 10,Pitch hi 35-400ft,0.004235853
RoC lo 35-1000ft,LOC dev 1000-500ft,0.004233547
LOC dev 1000-500ft,RoC lo 35-1000ft,0.004233547
Roll hi 1000-300ft,Air spd hi 8000-10000ft,0.004226344
Air spd hi 8000-10000ft,Roll hi 1000-300ft,0.004226344
LOC dev 1000-500ft,Air spd hi flap 5,0.004222702
Air spd hi flap 5,LOC dev 1000-500ft,0.004222702
Max alt excd,Air spd hi flap 30,0.004219861
Air spd hi flap 30,Max alt excd,0.004219861
Norm g hi t/o,Air spd hi flap 1,0.004216875
Air spd hi flap 1,Norm g hi t/o,0.004216875
Air spd hi flap 15,Air spd hi 1000-8000ft,0.004216604
Air spd hi 1000-8000ft,Air spd hi flap 15,0.004216604
LOC dev 1500-1000ft,Air spd (rel) lo flap 10,0.004216602
Air spd (rel) lo flap 10,LOC dev 1500-1000ft,0.004216602
Roll hi 400-1000ft,Roll hi >1000ft,0.00421519
Roll hi >1000ft,Roll hi 400-1000ft,0.00421519
GS dev above GS 1000-500ft,Air spd hi 8000-5000ft,0.004215062
Air spd hi 8000-5000ft,GS dev above GS 1000-500ft,0.004215062
Max alt excd,Air spd hi 10000-8000ft,0.004203048
Air spd hi 10000-8000ft,Max alt excd,0.004203048
Roll hi 20ft tdwn,Air spd (rel) hi 35ft t/o,0.004201731
Air spd (rel) hi 35ft t/o,Roll hi 20ft tdwn,0.004201731
Ldg gear late retr,Air spd (rel) hi 35-climb accel start,0.004198504
Air spd (rel) hi 35-climb accel start,Ldg gear late retr,0.004198504
AP engaged early t/o,Air spd hi 1000-8000ft,0.004196537
Air spd hi 1000-8000ft,AP engaged early t/o,0.004196537
Turb flt,Spdbrk dep flaps extd,0.004196433
Spdbrk dep flaps extd,Turb flt,0.004196433
AP disengaged crz,Air spd hi 10000-8000ft,0.004193275
Air spd hi 10000-8000ft,AP disengaged crz,0.004193275
Pitch lo 35-climb accel start,Ldg gear late retr,0.004191114
Ldg gear late retr,Pitch lo 35-climb accel start,0.004191114
Roll hi liftoff 20ft,Pitch lo 35-400ft,0.004181544
Pitch lo 35-400ft,Roll hi liftoff 20ft,0.004181544
Unstable app g/a,Air spd (rel) hi 500-20ft (3 secs),0.004180049
Air spd (rel) hi 500-20ft (3 secs),Unstable app g/a,0.004180049
Roll hi 20ft tdwn,RoD hi 50ft tdwn,0.004177369
RoD hi 50ft tdwn,Roll hi 20ft tdwn,0.004177369
Pitch rate (neg) t/o,Pitch hi 400-1000ft,0.00417295
Pitch hi 400-1000ft,Pitch rate (neg) t/o,0.00417295
Max alt (ldg gear extd) excd,GS dev above GS 1000-500ft,0.004166002
GS dev above GS 1000-500ft,Max alt (ldg gear extd) excd,0.004166002
GS dev above GS 1000-500ft,Air spd hi flap 40,0.004159674
Air spd hi flap 40,GS dev above GS 1000-500ft,0.004159674
Pitch hi 35-400ft,Ldg gear late retr g/a,0.004155113
Ldg gear late retr g/a,Pitch hi 35-400ft,0.004155113
Norm g hi t/o,Air spd (rel) lo flap 15,0.004152767
Air spd (rel) lo flap 15,Norm g hi t/o,0.004152767
RoD hi 3000-2000ft,Air spd (rel) lo 35ft t/o,0.004147756
Air spd (rel) lo 35ft t/o,RoD hi 3000-2000ft,0.004147756
Short flare duration,Roll hi 20ft tdwn,0.00414415
Roll hi 20ft tdwn,Short flare duration,0.00414415
Pitch lo 20ft tdwn,GS dev above GS 1500-1000ft,0.004143064
GS dev above GS 1500-1000ft,Pitch lo 20ft tdwn,0.004143064
Air spd hi ldg gear extn,Air spd hi flap 30,0.004136941
Air spd hi flap 30,Air spd hi ldg gear extn,0.004136941
Pitch rate lo t/o,GS dev above GS 1500-1000ft,0.004133657
GS dev above GS 1500-1000ft,Pitch rate lo t/o,0.004133657
Pitch hi 400-1000ft,GS dev above GS 1000-500ft,0.004131357
GS dev above GS 1000-500ft,Pitch hi 400-1000ft,0.004131357
Pitch hi liftoff,Pitch hi 400-1000ft,0.004127867
Pitch hi 400-1000ft,Pitch hi liftoff,0.004127867
Go-around,Air spd hi flap 5,0.004124374
Air spd hi flap 5,Go-around,0.004124374
Pitch hi 500-50ft,Pitch cycle fin app,0.004118027
Pitch cycle fin app,Pitch hi 500-50ft,0.004118027
GS dev above GS 1500-1000ft,Air spd hi ldg gear extn,0.00409608
Air spd hi ldg gear extn,GS dev above GS 1500-1000ft,0.00409608
Pitch lo 400-1000ft,Hdg dev rwy >80kts air spd t/o,0.004095968
Hdg dev rwy >80kts air spd t/o,Pitch lo 400-1000ft,0.004095968
RoD hi 50ft tdwn,Air spd hi flap 5,0.004089944
Air spd hi flap 5,RoD hi 50ft tdwn,0.004089944
Air spd hi flap 25,Air spd (rel) lo 35ft t/o,0.004083635
Air spd (rel) lo 35ft t/o,Air spd hi flap 25,0.004083635
Pitch lo 400-1000ft,Air spd hi 10000-8000ft,0.004082568
Air spd hi 10000-8000ft,Pitch lo 400-1000ft,0.004082568
Eng N1 lo 500-50ft (5 secs),Air spd hi 10000-8000ft,0.004081466
Air spd hi 10000-8000ft,Eng N1 lo 500-50ft (5 secs),0.004081466
Norm g hi t/o,Mach (MMO) excd,0.004074783
Mach (MMO) excd,Norm g hi t/o,0.004074783
Roll hi >1000ft,GS dev above GS 500-200ft,0.004072988
GS dev above GS 500-200ft,Roll hi >1000ft,0.004072988
Ldg gear late retr g/a,Air spd hi flap 40,0.004069556
Air spd hi flap 40,Ldg gear late retr g/a,0.004069556
Air spd hi 10000-8000ft,Air spd (rel) lo 500-20ft (3 secs),0.004061977
Air spd (rel) lo 500-20ft (3 secs),Air spd hi 10000-8000ft,0.004061977
Unstable app g/a,LOC dev 1500-1000ft,0.004048115
LOC dev 1500-1000ft,Unstable app g/a,0.004048115
Pitch lo 35-400ft,Air spd (VMO) excd,0.004045011
Air spd (VMO) excd,Pitch lo 35-400ft,0.004045011
GS dev below GS 500-200ft,Air spd hi flap 40,0.004037209
Air spd hi flap 40,GS dev below GS 500-200ft,0.004037209
Pitch rate hi 35-1000ft,Flap retr early t/o,0.004035432
Flap retr early t/o,Pitch rate hi 35-1000ft,0.004035432
Pitch hi 500-50ft,Air spd hi 8000-10000ft,0.004032916
Air spd hi 8000-10000ft,Pitch hi 500-50ft,0.004032916
Pitch lo 500-20ft,Go-around,0.004032563
Go-around,Pitch lo 500-20ft,0.004032563
Lat g hi taxi turn,Air spd hi 3000-1000ft,0.004028896
Air spd hi 3000-1000ft,Lat g hi taxi turn,0.004028896
Roll hi 20-400ft,Air spd (rel) hi 35-climb accel (3 secs),0.004027185
Air spd (rel) hi 35-climb accel (3 secs),Roll hi 20-400ft,0.004027185
Max alt excd,GS dev below GS 500-200ft,0.004026748
GS dev below GS 500-200ft,Max alt excd,0.004026748
Max alt excd,Air spd (rel) hi 500-20ft (3 secs),0.004026495
Air spd (rel) hi 500-20ft (3 secs),Max alt excd,0.004026495
Ldg weight hi tdwn,Air spd hi flap 10,0.004019816
